<<<<<<< HEAD
agreement_id,property_id,start_date,end_date,host_grantor_id,payment_id,pricing_id
5000,533,1994-10-12,2003-04-07,15,97,1016,765
5001,625,1990-02-23,2016-11-22,26,60,1166,797
5002,523,1991-03-10,2004-08-07,97,49,1110,855
5003,695,1994-02-18,2014-11-06,29,57,1068,884
5004,650,1991-12-18,2008-09-06,3,40,1007,705
5005,665,1984-09-21,2013-03-28,54,48,1175,755
5006,684,1981-08-07,2015-02-25,63,28,1195,812
5007,640,1992-04-30,2021-04-20,97,29,1173,756
5008,616,1991-01-03,2017-06-03,82,2,1106,842
5009,524,1987-01-18,2011-06-20,95,92,1075,730
5010,584,1992-06-12,2005-07-13,64,91,1128,808
5011,670,1995-10-10,2014-01-10,64,36,1150,827
5012,599,1996-04-20,2009-08-02,95,4,1122,762
5013,602,1988-06-04,2020-12-20,89,22,1093,840
5014,697,1991-12-01,2020-08-26,84,47,1022,812
5015,629,1996-01-26,2007-11-04,47,20,1133,800
5016,624,1985-06-30,2004-12-20,90,60,1011,778
5017,656,1993-11-28,2014-10-07,21,50,1165,743
5018,627,1982-04-23,2006-01-30,70,98,1051,838
5019,558,1982-05-01,2021-09-18,58,44,1147,790
5020,567,1984-12-24,2007-11-14,49,77,1186,701
5021,699,1998-06-11,2012-10-26,66,94,1131,733
5022,698,1989-06-06,2013-10-01,46,54,1014,823
5023,644,1987-03-23,2002-12-25,45,64,1105,824
5024,605,1999-09-02,2013-12-12,78,68,1138,859
5025,583,1990-01-18,2011-09-09,22,3,1058,862
5026,639,1993-09-24,2017-07-24,4,11,1141,765
5027,671,1985-09-19,2006-01-30,96,2,1115,703
5028,692,2000-12-23,2013-06-26,23,34,1028,859
5029,587,1998-04-18,2018-10-27,67,21,1040,765
5030,542,1994-11-06,2018-05-17,58,82,1182,775
5031,678,1987-11-27,2010-10-27,39,60,1029,706
5032,597,1983-01-02,2005-05-08,32,24,1066,727
5033,685,1996-11-09,2010-04-03,28,77,1110,705
5034,503,1990-07-11,2004-09-19,57,4,1184,741
5035,679,1991-08-30,2021-06-11,80,54,1139,756
5036,676,1984-11-01,2012-04-29,3,28,1134,866
5037,600,1986-09-28,2019-04-22,54,41,1168,861
5038,514,1994-08-26,2008-05-06,39,16,1054,712
5039,517,1996-05-25,2008-01-30,20,39,1076,890
5040,605,1992-10-16,2021-06-05,4,16,1002,843
5041,650,1991-02-25,2008-12-11,99,72,1117,743
5042,679,1984-11-01,2006-01-01,44,4,1096,751
5043,524,1998-10-01,2016-05-29,24,86,1110,851
5044,625,1992-03-26,2007-05-18,64,85,1099,775
5045,626,1999-09-22,2014-07-05,2,78,1102,772
5046,539,1994-12-21,2005-06-10,43,41,1144,734
5047,608,1987-12-13,2021-05-06,70,86,1024,797
5048,587,2000-01-23,2006-03-22,98,87,1136,824
5049,635,1997-06-28,2014-12-12,17,92,1010,721
5050,542,1987-06-24,2020-08-22,97,68,1054,768
5051,584,1987-09-09,2013-08-30,43,32,1094,786
5052,528,1993-09-21,2001-06-28,62,77,1199,883
5053,533,1990-01-30,2017-04-13,5,98,1026,782
5054,603,1999-12-29,2018-08-06,14,18,1032,787
5055,656,1988-06-06,2012-08-09,70,48,1019,846
5056,556,1993-11-21,2019-05-01,72,34,1093,775
5057,635,2000-11-26,2004-09-07,5,58,1070,727
5058,574,1987-01-30,2008-12-10,52,85,1003,723
5059,528,1982-06-30,2007-06-29,75,5,1048,761
5060,606,1993-11-06,2003-04-03,30,57,1042,874
5061,539,1988-02-11,2013-06-04,69,13,1111,796
5062,574,1988-05-20,2003-04-24,12,91,1122,780
5063,552,1986-05-15,2002-02-14,37,5,1006,702
5064,684,1990-07-08,2009-05-22,51,57,1100,780
5065,515,2000-01-13,2001-11-11,14,40,1153,816
5066,563,1992-01-29,2016-04-05,88,79,1199,838
5067,619,1988-08-15,2014-12-01,26,33,1046,838
5068,577,1991-08-25,2019-06-27,11,46,1020,771
5069,691,1991-11-06,2005-04-23,43,83,1147,864
5070,557,2000-09-30,2011-05-26,23,39,1010,783
5071,580,1998-08-06,2003-04-07,42,74,1077,762
5072,524,1997-01-23,2016-01-30,31,74,1152,723
5073,555,1990-07-09,2001-11-25,34,31,1102,718
5074,640,1987-09-20,2005-09-19,81,93,1019,705
5075,501,1998-04-18,2002-06-15,19,45,1126,820
5076,524,1989-08-02,2008-08-07,85,41,1019,830
5077,543,1998-08-27,2004-08-06,39,19,1036,781
5078,526,2000-12-06,2021-09-18,26,77,1075,732
5079,535,1985-08-08,2020-08-22,40,92,1008,899
5080,658,1983-12-25,2009-11-24,26,70,1191,876
5081,544,1984-02-25,2004-11-14,91,68,1040,712
5082,669,2000-07-06,2021-06-05,57,99,1016,874
5083,609,1981-08-29,2006-05-12,58,69,1112,837
5084,501,1987-02-05,2006-07-14,62,43,1043,766
5085,505,1983-10-15,2008-01-16,7,53,1146,704
5086,676,1986-03-14,2009-01-30,17,17,1151,732
5087,565,1991-11-02,2005-01-15,22,50,1144,802
5088,655,1983-06-20,2018-04-03,67,62,1001,745
5089,580,1984-02-02,2003-10-29,81,83,1112,875
5090,686,1997-12-07,2003-02-02,61,40,1126,875
5091,556,1993-05-25,2012-11-28,93,43,1143,856
5092,666,1997-10-26,2018-11-05,9,82,1056,712
5093,694,1994-09-24,2014-10-07,98,47,1040,830
5094,551,1991-04-17,2008-05-06,47,88,1076,841
5095,541,1991-04-25,2021-04-25,10,94,1118,852
5096,530,1992-07-01,2004-05-06,22,65,1146,796
5097,538,1981-05-12,2001-08-26,96,27,1145,884
5098,699,1991-01-24,2021-10-11,81,87,1100,883
5099,588,1987-10-09,2007-03-01,5,21,1139,886
5100,633,2000-04-23,2001-11-25,34,32,1160,725
5101,687,1985-08-02,2006-01-30,84,17,1198,857
5102,674,1998-05-15,2019-05-01,55,56,1061,797
5103,600,1995-01-30,2002-05-28,79,41,1112,732
5104,623,1982-05-27,2019-05-20,68,15,1110,853
5105,603,1990-05-28,2008-06-14,31,84,1075,771
5106,595,1981-06-05,2011-11-22,56,0,1048,835
5107,647,1988-09-26,2002-07-24,33,80,1155,762
5108,551,1985-06-22,2006-11-10,34,18,1138,751
5109,578,1984-11-09,2004-05-05,21,32,1174,814
5110,638,1982-05-13,2005-06-10,26,53,1031,896
5111,645,1985-10-03,2002-06-29,3,26,1072,727
5112,529,1994-10-12,2013-10-07,86,1,1139,775
5113,693,1982-05-13,2017-05-05,64,83,1034,719
5114,594,1994-06-27,2016-07-11,86,39,1111,828
5115,590,1990-04-07,2012-01-27,56,41,1000,731
5116,682,1994-11-22,2016-12-11,43,39,1138,802
5117,699,1999-11-15,2015-10-19,82,73,1126,728
5118,595,1997-05-10,2016-10-22,81,71,1000,771
5119,652,1982-06-07,2015-10-26,25,94,1186,830
5120,617,1995-01-04,2016-02-15,91,66,1104,890
