owner_id,title,location,price/guests,total_price/USD,cleaning_fee,service_fee,only_price,reviews,superhost,guests,bedrooms,beds,bathrooms,thismonth_bookings,nextmonth_bookings,date,datetime,accuracy,communication,cleanliness,locationq,checkin,value,url
119223,beautiful room with ocean view,Puerto López,245.0,490,0,42,369,75,0,2,2,1,1,,,2019-06-23,2019-06-23 13:27:13,5.0,5.0,4.5,4.5,5.0,,https://www.airbnb.com/rooms/119223?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561314416_B1Br%2Bl6dfyBKbFFK
832105,Casa del Tio Shanta / Private Room & Breakfast,Cuenca,0.0,0,0,0,316,79,1,2,2,1,1,,,2019-06-23,2019-06-23 13:27:59,5.0,5.0,5.0,4.5,5.0,,https://www.airbnb.com/rooms/832105?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561314434_4fVxuwxUT4%2FO7YCM
15345521,Condo with a view in Punta Blanca Beach,Punta Blanca,214.67,1288,0,111,970,33,1,6,6,2,2,,,2019-06-23,2019-06-23 13:28:04,5.0,5.0,5.0,5.0,5.0,,https://www.airbnb.com/rooms/15345521?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561314480_AmjiWe%2FxQfATiKBI
3517852,Luxury 2BR/1BATH Apartment-Fully Equiped-Phoenix3B,Salinas,190.67,1144,0,98,862,83,1,6,6,2,1,,,2019-06-23,2019-06-23 13:28:08,5.0,5.0,5.0,5.0,5.0,,https://www.airbnb.com/rooms/3517852?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561314485_Ylq%2B9PZMnVVUdrBH
14867250,LUXURY Modern Suite-GREAT location & view of Quito,Quito,406.33,1219,0,105,918,106,1,3,3,1,1,,,2019-06-23,2019-06-23 13:28:12,5.0,5.0,5.0,5.0,5.0,,https://www.airbnb.com/rooms/14867250?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561314489_h%2BaDCGox%2FulkWJgq
12310614,Bamboo Ventura Eco-apartment Playas,General Villamil,159.33,956,0,82,720,34,0,6,6,4,2,,,2019-06-23,2019-06-23 13:28:27,4.5,5.0,5.0,4.5,4.5,,https://www.airbnb.com/rooms/12310614?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561314494_GGT4qpw0TFoWthGR
6896659,"Cabin ""La Mandarina"" with a stunning view",Ibarra,307.5,615,0,53,463,33,1,2,2,1,1,,,2019-06-23,2019-06-23 13:28:31,4.5,5.0,4.5,5.0,5.0,,https://www.airbnb.com/rooms/6896659?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561314508_YKtk9%2FzshPvniO8n
16221,"cabaña ""ARRAYAN"" - Otavalo-Ecuador",Otavalo,120.25,481,0,41,363,53,1,4,4,4,2,,,2019-06-23,2019-06-23 13:28:36,5.0,5.0,5.0,5.0,5.0,,https://www.airbnb.com/rooms/16221?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561314512_A7LSClGhG8TtiVBH
7132086,Ayamtai Jea Guest House & Healing Center,Baños de Agua Santa,30.38,486,0,42,366,98,0,16,16,16,1,,,2019-06-23,2019-06-23 13:28:49,5.0,5.0,5.0,5.0,5.0,,https://www.airbnb.com/rooms/7132086?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561314517_2UGn%2BG6%2BnVEsnSle
7051892,"Farm house outside Ibarra, Ecuador",Ibarra,391.0,1564,0,134,1179,32,1,4,4,3,1,,,2019-06-23,2019-06-23 13:28:54,5.0,5.0,4.5,4.5,5.0,,https://www.airbnb.com/rooms/7051892?location=Ecuador&check_in=2019-06-23&check_out=2019-07-30&source_impression_id=p3_1561314530_7%2BpP8C1NbdWEt5TG
